pzvID|label|prediction
101|0|0.03502237
102|0|0.04752539
103|0|0.11567664
104|0|0.04311877
105|0|0.14364274
106|0|0.06503717
107|0|0.00494954
108|0|0.07881511
109|0|0.03626045
110|0|0.06235470
111|0|0.04648162
112|0|0.07809021
113|0|0.04508752
114|1|0.11388422
115|0|0.09441781
116|0|0.02507728
117|0|0.13499539
201|1|0.32603294
202|0|0.18066276
203|0|0.02527072
204|0|0.09464389
205|0|0.03029852
206|0|0.02321489
207|0|0.02210000
208|0|0.00607327
209|1|0.10845461
210|0|0.12092583
211|0|0.11661278
212|0|0.14210490
213|0|0.08906904
214|1|0.11774620
215|0|0.06673580
216|0|0.07073413
217|0|0.13499539
301|0|0.14831749
302|0|0.19691059
303|0|0.01122714
304|1|0.05489030
305|0|0.01089151
306|0|0.03222730
307|0|0.02938781
308|1|0.06491254
309|0|0.01628011
310|0|0.02633691
311|0|0.13180761
312|0|0.19457803
313|0|0.04606906
314|0|0.15244633
315|0|0.07748960
316|1|0.10637449
317|0|0.13499539
401|0|0.02580016
402|0|0.05348487
403|1|0.48817772
404|0|0.07769866
405|0|0.42505456
406|0|0.09477044
407|0|0.25477396
408|0|0.02551792
409|0|0.00922446
410|0|0.46188849
411|0|0.03715611
412|0|0.14662168
413|0|0.02289177
414|0|0.12192433
415|0|0.12006787
416|0|0.15021484
417|0|0.13499539
501|0|0.03301533
502|0|0.06571103
503|0|0.22076960
504|0|0.14814912
505|0|0.16952676
506|0|0.05755912
507|0|0.03242524
508|0|0.07411638
509|0|0.04317983
510|0|0.13292167
511|0|0.10400647
512|0|0.02642613
513|0|0.32063669
514|0|0.22255491
515|1|0.36393411
516|0|0.12721451
517|0|0.13499539
601|0|0.11397862
602|1|0.03356642
603|0|0.00666754
604|0|0.13520828
605|0|0.06005812
606|0|0.22259178
607|0|0.08530350
608|0|0.04197794
609|0|0.07046939
610|0|0.03271415
611|0|0.05677214
612|0|0.03127452
613|0|0.04896780
614|0|0.03035148
615|0|0.06606753
616|0|0.06036067
617|0|0.13499539
701|0|0.07898073
702|0|0.02016279
703|0|0.02781916
704|0|0.04151683
705|0|0.05123604
706|0|0.01704536
707|0|0.03704406
708|0|0.12498002
709|1|0.01196591
710|0|0.00898192
711|1|0.51109617
712|0|0.03496230
713|1|0.20888203
714|0|0.07123902
715|0|0.07642958
716|0|0.02285650
717|0|0.13499539
801|1|0.50192261
802|0|0.10128670
803|0|0.06475785
804|0|0.04498699
805|0|0.01815736
806|0|0.09840554
807|0|0.05309507
808|0|0.12100182
809|0|0.05061882
810|0|0.10892707
811|0|0.04348705
812|0|0.20465514
813|0|0.07651171
814|1|0.16995500
815|0|0.04048987
816|0|0.08740733
817|0|0.13499539
901|0|0.07723363
902|0|0.00629623
903|0|0.01514088
904|1|0.11355702
905|0|0.33065041
906|0|0.03629800
907|0|0.05676380
908|0|0.11291108
909|0|0.01487929
910|0|0.02417735
911|0|0.05150987
912|0|0.02353774
913|0|0.13177864
914|0|0.09120073
915|0|0.19798042
916|1|0.22874729
917|0|0.13499539
1001|0|0.35585328
1002|0|0.22316435
1003|0|0.02986068
1004|0|0.11615361
1005|0|0.08168030
1006|0|0.07107477
1007|0|0.14461240
1008|1|0.09287274
1009|0|0.05465306
1010|0|0.12507532
1011|0|0.00968081
1012|0|0.28183361
1013|0|0.12474948
1014|0|0.17761010
1015|0|0.06516936
1016|0|0.04804299
1017|0|0.13499539
1201|0|0.33064128
1202|0|0.24329164
1203|0|0.07043103
1204|0|0.18856810
1205|0|0.09922137
1206|0|0.27497094
1207|1|0.10601608
1208|0|0.03967717
1209|0|0.31812962
1210|0|0.05245341
1211|0|0.06702716
1212|0|0.15006064
1213|0|0.05402497
1214|0|0.06016836
1215|0|0.08508193
1216|0|0.09090877
1217|0|0.13499539
1301|1|0.05886323
1302|0|0.16070265
1303|0|0.07121608
1304|0|0.06951509
1305|0|0.08799260
1306|0|0.10637022
1307|1|0.17068259
1308|0|0.26277061
1309|0|0.92735266
1310|0|0.08608042
1311|0|0.08184601
1312|1|0.07150391
1313|0|0.08301767
1314|0|0.08817100
1315|0|0.07009430
1316|0|0.09643280
1317|0|0.13499539
1401|0|0.09768701
1402|0|0.16158622
1403|0|0.19376370
1404|0|0.06247035
1405|0|0.15592076
1406|0|0.18748580
1407|0|0.16888285
1408|0|0.03985480
1409|0|0.37405586
1410|0|0.00348210
1411|0|0.03312916
1412|0|0.02067269
1413|1|0.06791848
1414|0|0.07397066
1415|0|0.11189283
1416|0|0.22731078
1417|0|0.13499539
1501|1|0.10885697
1502|0|0.07526126
1503|0|0.08484106
1504|0|0.03559891
1505|0|0.25085362
1506|0|0.22548190
1507|0|0.19612094
1508|1|0.37375625
1509|0|0.31832289
1510|0|0.23454671
1511|0|0.04423271
1512|0|0.12079598
1513|0|0.09097613
1514|0|0.03884971
1515|0|0.05751732
1516|0|0.07978820
1517|0|0.13499539
1601|0|0.05955161
1602|0|0.06634682
1603|0|0.03246057
1604|0|0.06121648
1605|0|0.19470671
1606|0|0.33769783
1607|1|0.05214188
1608|0|0.02924573
1609|0|0.57397476
1610|0|0.06140208
1611|0|0.03521320
1612|0|0.06531683
1613|0|0.02466217
1614|0|0.07283553
1615|0|0.02926991
1616|0|0.08555636
1617|0|0.13499539
1701|0|0.22175117
1702|0|0.05735169
1703|0|0.07620365
1704|0|0.01054822
1705|1|0.01931564
1706|0|0.01279401
1707|0|0.09926536
1708|0|0.18672626
1709|0|0.30183323
1710|0|0.40958557
1711|0|0.00835406
1712|0|0.02635830
1713|0|0.03225515
1714|0|0.06069625
1715|0|0.04522360
1716|1|0.14677316
1717|0|0.13499539
1801|0|0.06659102
1802|0|0.18319381
1803|0|0.01490368
1804|0|0.07330868
1805|0|0.01537225
1806|0|0.00987099
1807|0|0.05459107
1808|0|0.00683805
1809|0|0.01022742
1810|1|0.55245342
1811|0|0.14067790
1812|0|0.38690878
1813|0|0.02673449
1814|0|0.25372662
1815|0|0.04869853
1816|1|0.18995085
1817|0|0.13499539
1901|0|0.10066193
1902|0|0.07564644
1903|0|0.35608134
1904|0|0.11261390
1905|0|0.14794972
1906|0|0.05604884
1907|0|0.03717414
1908|0|0.01432353
1909|0|0.00943617
1910|0|0.05730027
1911|0|0.06575834
1912|0|0.11230648
1913|0|0.08841940
1914|0|0.09492159
1915|0|0.01163949
1916|0|0.10474978
1917|0|0.13499539
2001|0|0.02328505
2002|1|0.92892299
2003|0|0.08969710
2004|0|0.03752100
2005|0|0.14047076
2006|0|0.10111445
2007|1|0.00496933
2008|0|0.01888350
2009|0|0.03674570
2010|0|0.00611668
2011|0|0.02160022
2012|0|0.03815264
2013|0|0.04896360
2014|0|0.14452975
2015|0|0.01687060
2016|0|0.07523377
2017|0|0.13499539
2101|0|0.07060647
2102|0|0.03344065
2103|0|0.19331270
2104|0|0.46327776
2105|0|0.13575848
2106|0|0.01199757
2107|0|0.01982792
2108|0|0.01945000
2109|0|0.02315588
2110|0|0.02420674
2111|0|0.01641543
2112|0|0.04275673
2113|0|0.11781777
2114|0|0.03466320
2115|0|0.11214890
2116|0|0.06851181
2117|0|0.13499539
2201|0|0.24583267
2202|0|0.24599009
2203|0|0.04638102
2204|0|0.20161337
2205|0|0.09915367
2206|0|0.18831556
2207|0|0.09687305
2208|0|0.04541523
2209|0|0.10949940
2210|0|0.17460208
2211|1|0.16562896
2212|0|0.14118255
2213|1|0.07546678
2214|0|0.18928034
2215|0|0.12477818
2216|0|0.07084663
2217|0|0.13499539
2301|0|0.08111645
2302|0|0.04247638
2303|0|0.00584777
2304|0|0.05642872
2305|0|0.10746614
2306|0|0.02859217
2307|0|0.03657285
2308|0|0.01403476
2309|0|0.02523622
2310|0|0.00197820
2311|0|0.01361861
2312|0|0.01949374
2313|0|0.03302358
2314|0|0.10803090
2315|0|0.13616802
2316|0|0.04761355
2317|0|0.13499539
2401|0|0.04638252
2402|0|0.02474231
2403|0|0.05843290
2404|0|0.02306135
2405|0|0.06026482
2406|0|0.08723515
2407|0|0.03870747
2408|0|0.00867474
2409|0|0.00616296
2410|0|0.28649898
2411|0|0.15893281
2412|0|0.06931783
2413|0|0.07172588
2414|0|0.13093230
2415|1|0.26872506
2416|0|0.28016704
2417|0|0.13499539
2501|0|0.13467689
2502|1|0.08241176
2503|0|0.06276348
2504|0|0.04467687
2505|0|0.02829294
2506|0|0.09054772
2507|0|0.00676668
2508|0|0.03402453
2509|0|0.07984272
2510|0|0.04811699
2511|0|0.09457551
2512|0|0.07234625
2513|0|0.02547543
2514|0|0.07760225
2515|0|0.10745516
2516|0|0.12836110
2517|0|0.13499539
2601|0|0.23752441
2602|0|0.10010695
2603|0|0.09398447
2604|0|0.01008124
2605|0|0.16424062
2606|0|0.30553977
2607|1|0.02014005
2608|0|0.44454821
2609|0|0.10905413
2610|0|0.01368664
2611|0|0.07400614
2612|0|0.10612498
2613|0|0.08247033
2614|0|0.16844101
2615|0|0.04860278
2616|0|0.08056492
2617|0|0.13499539
2801|1|0.09172000
2802|0|0.03572187
2803|0|0.02815498
2804|0|0.02727385
2805|0|0.01023456
2806|0|0.06411581
2807|0|0.05866721
2808|0|0.52431755
2809|0|0.03390449
2810|0|0.17191373
2811|0|0.05721503
2812|0|0.04400690
2813|0|0.14598711
2814|0|0.08500771
2815|0|0.04787223
2816|0|0.27899761
2817|0|0.13499539
2901|0|0.09524279
2902|0|0.07977759
2903|0|0.06138116
2904|0|0.06743330
2905|0|0.04195500
2906|0|0.01545618
2907|0|0.03434679
2908|0|0.04653046
2909|0|0.00733893
2910|0|0.00826826
2911|0|0.02365725
2912|0|0.05105048
2913|0|0.10830566
2914|0|0.09362923
2915|0|0.04564590
2916|0|0.09027162
2917|0|0.13499539
3001|0|0.04695698
3002|0|0.03075195
3003|0|0.02712410
3004|0|0.15816915
3005|0|0.37787768
3006|0|0.06783723
3007|0|0.04512428
3008|0|0.01480399
3009|0|0.02345257
3010|0|0.01509973
3011|0|0.02514529
3012|0|0.06778414
3013|0|0.07546324
3014|0|0.16462877
3015|0|0.02992625
3016|0|0.01548249
3017|0|0.13499539
3101|0|0.09267910
3102|0|0.10671349
3103|0|0.10880802
3104|0|0.17095786
3105|0|0.06907059
3106|0|0.09791600
3107|0|0.04211069
3108|0|0.08182280
3109|0|0.09927706
3110|0|0.02523909
3111|0|0.12338031
3112|0|0.22131647
3113|0|0.07240122
3114|1|0.12290705
3115|0|0.08981191
3116|0|0.16833370
3117|0|0.13499539
3201|1|0.17005984
3202|0|0.05438944
3203|1|0.06390406
3204|0|0.06575829
3205|0|0.17248081
3206|0|0.03309115
3207|0|0.06515794
3208|0|0.01060040
3209|0|0.08150531
3210|1|0.08235546
3211|0|0.08825441
3212|0|0.11104971
3213|0|0.09025093
3214|0|0.06358619
3215|0|0.08339493
3216|0|0.05594040
3217|0|0.13499539
3401|0|0.05443202
3402|0|0.17210777
3403|0|0.03402318
3404|0|0.16119826
3405|0|0.05462563
3406|0|0.01404228
3407|0|0.04191736
3408|0|0.02637555
3409|0|0.01217551
3410|0|0.00594308
3411|0|0.02419930
3412|0|0.02283754
3413|0|0.10572436
3414|0|0.05604392
3415|0|0.04588086
3416|0|0.05426471
3417|0|0.13499539
3501|0|0.04949843
3502|0|0.23369415
3503|0|0.16104673
3504|0|0.08056619
3505|0|0.04020684
3506|0|0.11603071
3507|0|0.04333793
3508|1|0.94824136
3509|0|0.23545296
3510|0|0.01035546
3511|0|0.03526522
3512|0|0.09042705
3513|0|0.04306068
3514|0|0.04144322
3515|0|0.11594436
3516|0|0.08554487
3517|1|0.13499539
3601|0|0.04275684
3602|0|0.05691880
3603|0|0.04478391
3604|0|0.16818962
3605|0|0.27305135
3606|0|0.04655972
3607|0|0.01753864
3608|0|0.06656385
3609|0|0.08385658
3610|1|0.16725234
3611|0|0.07028289
3612|0|0.03958626
3613|0|0.03111518
3614|0|0.08440724
3615|0|0.08678985
3616|0|0.04621237
3617|0|0.13499539
3701|0|0.05370903
3702|0|0.02546442
3703|0|0.05634258
3704|0|0.01969265
3705|0|0.03672299
3706|1|0.07300275
3707|0|0.02843746
3708|0|0.00295958
3709|0|0.00529242
3710|0|0.02093305
3711|0|0.02579321
3712|0|0.04456086
3713|1|0.78423793
3714|0|0.04400639
3715|0|0.16082051
3716|0|0.07254262
3717|0|0.13499539
3801|0|0.01104816
3802|0|0.06205985
3803|0|0.02996231
3804|0|0.01815616
3805|0|0.01895963
3806|0|0.12723998
3807|1|0.61253494
3808|0|0.09396319
3809|0|0.00790627
3810|0|0.04534545
3811|0|0.05397539
3812|0|0.02349496
3813|0|0.05413127
3814|0|0.04028326
3815|1|0.15339570
3816|0|0.04411786
3817|0|0.13499539
3901|0|0.10415354
3902|0|0.09220666
3903|0|0.30417697
3904|0|0.01531352
3905|1|0.06781504
3906|0|0.02201828
3907|0|0.06555672
3908|0|0.06438232
3909|0|0.03774326
3910|0|0.02034409
3911|1|0.10951178
3912|0|0.02882755
3913|0|0.04753994
3914|0|0.06460361
3915|0|0.05726415
3916|1|0.07060153
3917|0|0.13499539
4001|1|0.58129858
4002|0|0.36002539
4003|0|0.13569307
4004|0|0.14479925
4005|0|0.13970294
4006|0|0.01627626
4007|0|0.03578782
4008|0|0.00832218
4009|0|0.05678662
4010|0|0.07150227
4011|0|0.03795180
4012|0|0.04411873
4013|0|0.06463872
4014|0|0.07535069
4015|0|0.05598683
4016|0|0.04050321
4017|0|0.13499539
4101|0|0.03230423
4102|0|0.05200702
4103|0|0.07519136
4104|0|0.07025317
4105|0|0.06370931
4106|0|0.03628558
4107|0|0.04914124
4108|0|0.02634069
4109|0|0.02532019
4110|0|0.00785668
4111|0|0.03052520
4112|0|0.03278073
4113|0|0.02534109
4114|0|0.04233579
4115|0|0.03113963
4116|0|0.13882442
4117|0|0.13499539
4301|0|0.02185156
4302|0|0.28170413
4303|0|0.03190404
4304|0|0.05724068
4305|0|0.03438890
4306|0|0.03939750
4307|0|0.06699724
4308|0|0.00760116
4309|0|0.00828088
4310|0|0.02088981
4311|0|0.04043338
4312|0|0.02679839
4313|0|0.14174195
4314|1|0.07489237
4315|0|0.08258356
4316|0|0.10767039
4317|0|0.13499539
4401|1|0.04812023
4402|0|0.06414868
4403|1|0.17056905
4404|0|0.04434553
4405|0|0.03778840
4406|0|0.29748974
4407|1|0.59093472
4408|0|0.04533314
4409|0|0.01030940
4410|0|0.00918801
4411|0|0.03068285
4412|0|0.02496435
4413|0|0.03064041
4414|0|0.11352874
4415|0|0.19537313
4416|0|0.16962967
4417|0|0.13499539
4601|0|0.01397416
4602|0|0.02520500
4603|0|0.02817394
4604|0|0.02377364
4605|0|0.02983056
4606|1|0.17327553
4607|0|0.02985089
4608|0|0.23312315
4609|0|0.04932381
4610|0|0.00898460
4611|0|0.07396638
4612|0|0.01223442
4613|0|0.08009556
4614|0|0.11412705
4615|0|0.20167129
4616|0|0.12910547
4617|0|0.13499539
4701|0|0.04965737
4702|0|0.09099658
4703|0|0.10276649
4704|0|0.06694203
4705|0|0.03615272
4706|0|0.07989267
4707|0|0.07991035
4708|0|0.01285642
4709|0|0.11805181
4710|0|0.13984019
4711|0|0.00886157
4712|0|0.10225224
4713|0|0.08090002
4714|0|0.04252120
4715|1|0.09859561
4716|0|0.06882355
4717|0|0.13499539
4801|0|0.05855125
4802|0|0.03038746
4803|0|0.01685001
4804|0|0.16734399
4805|0|0.04645047
4806|0|0.04508494
4807|0|0.02947228
4808|0|0.06208166
4809|0|0.06010511
4810|0|0.03227621
4811|0|0.02284590
4812|0|0.09786535
4813|0|0.05844823
4814|0|0.07169002
4815|0|0.04171663
4816|1|0.20691313
4817|0|0.13499539
4901|0|0.05904046
4902|1|0.13479291
4903|0|0.05778306
4904|0|0.01316983
4905|0|0.08133902
4906|0|0.11638629
4907|0|0.27067263
4908|0|0.01260376
4909|0|0.04638793
4910|0|0.10882909
4911|0|0.04012901
4912|1|0.42398904
4913|0|0.03547147
4914|0|0.06182826
4915|0|0.09904607
4916|0|0.15857603
4917|0|0.13499539
5001|0|0.05447783
5002|0|0.32536715
5003|0|0.00974374
5004|0|0.53500147
5005|0|0.03319298
5006|1|0.08201585
5007|0|0.02589908
5008|0|0.34933407
5009|0|0.05514609
5010|0|0.20592807
5011|0|0.08875780
5012|1|0.12545665
5013|0|0.03489057
5014|0|0.02451901
5015|0|0.14193386
5016|0|0.07987910
5017|0|0.13499539
5101|0|0.27201716
5102|0|0.17805686
5103|0|0.08366678
5104|0|0.08238562
5105|0|0.01655323
5106|0|0.05995209
5107|0|0.03800149
5108|0|0.00668697
5109|0|0.03253304
5110|0|0.02566069
5111|0|0.05545608
5112|0|0.19909781
5113|0|0.03160670
5114|0|0.03500877
5115|1|0.06763877
5116|0|0.06797824
5117|0|0.13499539
5201|0|0.04493940
5202|0|0.00593247
5203|0|0.00490422
5204|0|0.05619223
5205|0|0.02582184
5206|0|0.01648824
5207|0|0.01529926
5208|0|0.03736769
5209|0|0.13720325
5210|0|0.12381933
5211|0|0.04754358
5212|0|0.02358944
5213|0|0.06350378
5214|0|0.04151332
5215|0|0.01416744
5216|0|0.03607950
5217|0|0.13499539
5301|0|0.66787229
5302|0|0.17972824
5303|0|0.22235771
5304|0|0.18648390
5305|0|0.47262393
5306|0|0.03515729
5307|0|0.05049813
5308|0|0.02259767
5309|0|0.00959318
5310|0|0.02377158
5311|0|0.03882298
5312|0|0.01699589
5313|0|0.04823851
5314|0|0.14664146
5315|0|0.17450970
5316|0|0.08598333
5317|0|0.13499539
5401|0|0.24687264
5402|0|0.09944615
5403|0|0.12923354
5404|1|0.10525485
5405|0|0.20849512
5406|0|0.10466488
5407|0|0.31041944
5408|0|0.01252646
5409|0|0.10204699
5410|1|0.17714494
5411|0|0.06454116
5412|0|0.03473420
5413|0|0.05889835
5414|0|0.02866259
5415|0|0.07572377
5416|0|0.09149299
5417|0|0.13499539
5501|0|0.07497093
5502|0|0.02471247
5503|0|0.02860331
5504|1|0.10226589
5505|1|0.01054369
5506|0|0.31897597
5507|0|0.02569106
5508|0|0.06290687
5509|0|0.11130413
5510|0|0.06902728
5511|0|0.01858208
5512|0|0.03620969
5513|0|0.05095948
5514|0|0.03814573
5515|1|0.05064380
5516|0|0.04121778
5517|0|0.13499539
5601|0|0.02033043
5602|0|0.03459516
5603|0|0.11547702
5604|0|0.01791491
5605|0|0.59129680
5606|0|0.08063006
5607|0|0.07310758
5608|0|0.04634969
5609|0|0.06420461
5610|0|0.03653316
5611|0|0.02533084
5612|0|0.02494878
5613|1|0.05466216
5614|0|0.09799629
5615|0|0.14589482
5616|1|0.08964753
5617|0|0.13499539
5701|0|0.11878040
5702|0|0.07208354
5703|0|0.05551263
5704|0|0.22369043
5705|0|0.12923577
5706|0|0.06797258
5707|0|0.14368376
5708|0|0.26873365
5709|0|0.35154685
5710|1|0.18759718
5711|0|0.04163527
5712|0|0.10167579
5713|0|0.08743200
5714|0|0.05903928
5715|1|0.16921482
5716|0|0.04934347
5717|0|0.13499539
5801|0|0.09494877
5802|0|0.03197867
5803|0|0.06149688
5804|0|0.14682921
5805|0|0.03239776
5806|0|0.33469198
5807|0|0.12556775
5808|0|0.01703085
5809|0|0.10859640
5810|0|0.19997155
5811|0|0.06725435
5812|0|0.14611925
5813|1|0.07778360
5814|0|0.07382599
5815|0|0.15278327
5816|1|0.13253635
5817|0|0.13499539
5901|0|0.05719733
5902|0|0.12849855
5903|0|0.03682874
5904|0|0.06885300
5905|0|0.09856035
5906|0|0.06792151
5907|0|0.00354637
5908|0|0.01192406
5909|0|0.00751408
5910|0|0.00309354
5911|0|0.03740425
5912|0|0.02023985
5913|0|0.02839049
5914|0|0.05637040
5915|0|0.08882141
5916|0|0.01792968
5917|0|0.13499539
6001|0|0.04495759
6002|0|0.06287290
6003|0|0.01614289
6004|0|0.23790477
6005|0|0.01572752
6006|0|0.07191571
6007|0|0.07427604
6008|0|0.00925353
6009|0|0.06327143
6010|0|0.00420443
6011|0|0.01275279
6012|0|0.06923418
6013|0|0.02600239
6014|0|0.12728743
6015|0|0.02765164
6016|0|0.02037748
6017|0|0.13499539
6101|0|0.48079588
6102|0|0.06647133
6103|0|0.06907340
6104|0|0.05777797
6105|0|0.25803858
6106|0|0.09115415
6107|0|0.03632574
6108|0|0.02670121
6109|0|0.12434092
6110|0|0.04886405
6111|1|0.28685182
6112|0|0.06376554
6113|0|0.07703711
6114|0|0.08722746
6115|0|0.18472996
6116|0|0.09101836
6117|0|0.13499539
6301|0|0.01550697
6302|0|0.01259931
6303|0|0.01544648
6304|0|0.13606324
6305|0|0.10245064
6306|0|0.02949851
6307|0|0.00875024
6308|0|0.03076340
6309|0|0.01904546
6310|0|0.01700845
6311|0|0.00985569
6312|0|0.02776514
6313|0|0.02887328
6314|0|0.08079217
6315|0|0.06817542
6316|0|0.02264166
6317|1|0.13499539
6401|0|0.04903765
6402|0|0.09937373
6403|1|0.11566149
6404|0|0.04892431
6405|0|0.13255010
6406|0|0.07606726
6407|0|0.01825218
6408|0|0.01372284
6409|0|0.01038949
6410|0|0.03092479
6411|0|0.06668076
6412|0|0.03287170
6413|0|0.05453813
6414|0|0.10036570
6415|0|0.10916030
6416|0|0.19761615
6417|0|0.13499539
6601|0|0.11070261
6602|1|0.05993171
6603|0|0.06704392
6604|0|0.04752678
6605|0|0.01776792
6606|0|0.29011534
6607|0|0.01089220
6608|0|0.17561810
6609|0|0.23732154
6610|0|0.13680694
6611|1|0.07677862
6612|0|0.03064374
6613|0|0.05916725
6614|0|0.04237526
6615|0|0.05023352
6616|0|0.05580757
6617|0|0.13499539
6701|0|0.01953260
6702|0|0.02265950
6703|0|0.20715618
6704|0|0.03499209
6705|0|0.13113784
6706|0|0.08173867
6707|0|0.23569629
6708|0|0.05769143
6709|1|0.19484983
6710|0|0.15137093
6711|0|0.05751538
6712|0|0.05888981
6713|0|0.08100664
6714|0|0.08178304
6715|1|0.40441231
6716|0|0.15780249
6717|1|0.13499539
6801|0|0.10374074
6802|0|0.03875158
6803|0|0.03578427
6804|0|0.04562580
6805|0|0.01249615
6806|0|0.06886201
6807|0|0.00857695
6808|0|0.08298831
6809|0|0.01667440
6810|0|0.01203143
6811|0|0.03496001
6812|0|0.01304645
6813|0|0.02200948
6814|0|0.02182146
6815|0|0.02797280
6816|0|0.02973574
6817|0|0.13499539
7001|0|0.13836520
7002|1|0.27166407
7003|0|0.01573733
7004|1|0.23980059
7005|0|0.04559603
7006|0|0.03517611
7007|0|0.00503501
7008|0|0.03486395
7009|0|0.02512339
7010|0|0.01133024
7011|0|0.00880503
7012|0|0.07706954
7013|1|0.69137610
7014|0|0.07124588
7015|0|0.33431173
7016|0|0.03639027
7017|0|0.13499539
7101|0|0.04337113
7102|0|0.03474136
7103|0|0.02038528
7104|0|0.09801405
7105|0|0.08432785
7106|1|0.05881736
7107|0|0.10031878
7108|0|0.03471529
7109|0|0.01318659
7110|0|0.00433103
7111|0|0.02770547
7112|0|0.07102550
7113|0|0.09323158
7114|1|0.28129697
7115|0|0.06262156
7116|0|0.10066066
7117|0|0.13499539
7201|0|0.15754564
7202|0|0.07854313
7203|0|0.29784178
7204|0|0.08373560
7205|1|0.98684063
7206|0|0.08286234
7207|0|0.18864961
7208|0|0.05922834
7209|0|0.08618673
7210|0|0.15671315
7211|0|0.01849131
7212|0|0.01464748
7213|0|0.07704161
7214|0|0.18631228
7215|1|0.38893773
7216|0|0.30370527
7217|0|0.13499539
7301|0|0.20407402
7302|0|0.03300348
7303|1|0.01404558
7304|0|0.04678682
7305|0|0.00567201
7306|1|0.12576944
7307|0|0.06339643
7308|0|0.07746416
7309|0|0.03117621
