pzv|passgr|Zon|view|probability|score
281de4301c55e07dc7e2428a9b25ad11_z3_v0_|281de4301c55e07dc7e2428a9b25ad11|Zone4|0|1.00|9.00
281de4301c55e07dc7e2428a9b25ad11_z3_v32_|281de4301c55e07dc7e2428a9b25ad11|Zone4|32|1.00|0.00
281de4301c55e07dc7e2428a9b25ad11_z4_v32_|281de4301c55e07dc7e2428a9b25ad11|Zone5|32|0.00|0.00
2eb9eae48c9edc17c018b2ec10f18f94_z3_v0_|2eb9eae48c9edc17c018b2ec10f18f94|Zone4|0|0.00|9.00
2eb9eae48c9edc17c018b2ec10f18f94_z3_v32_|2eb9eae48c9edc17c018b2ec10f18f94|Zone4|32|0.00|9.00
2eb9eae48c9edc17c018b2ec10f18f94_z4_v32_|2eb9eae48c9edc17c018b2ec10f18f94|Zone5|32|0.00|0.00
399992e44092a3b7426d424ee6a099c9_z4_v32_|399992e44092a3b7426d424ee6a099c9|Zone5|32|1.00|0.00
281de4301c55e07dc7e2428a9b25ad11_z1_v0_|281de4301c55e07dc7e2428a9b25ad11|Zone2|0|0.00|9.00
281de4301c55e07dc7e2428a9b25ad11_z1_v32_|281de4301c55e07dc7e2428a9b25ad11|Zone2|32|0.00|9.00
2eb9eae48c9edc17c018b2ec10f18f94_z1_v0_|2eb9eae48c9edc17c018b2ec10f18f94|Zone2|0|0.00|0.00
2eb9eae48c9edc17c018b2ec10f18f94_z1_v32_|2eb9eae48c9edc17c018b2ec10f18f94|Zone2|32|0.00|9.00
112c6279f156611fef5f4cf55a9f1a9d_z4_v32_|112c6279f156611fef5f4cf55a9f1a9d|Zone5|32|0.00|0.00
1636ba745a6fc4d97dba1d27825de2b0_z4_v32_|1636ba745a6fc4d97dba1d27825de2b0|Zone5|32|0.00|0.00
1e4a14d2e1eb381b773446de1c0c0b7e_z3_v0_|1e4a14d2e1eb381b773446de1c0c0b7e|Zone4|0|0.00|9.00
1e4a14d2e1eb381b773446de1c0c0b7e_z3_v32_|1e4a14d2e1eb381b773446de1c0c0b7e|Zone4|32|0.00|9.00
1e4a14d2e1eb381b773446de1c0c0b7e_z4_v32_|1e4a14d2e1eb381b773446de1c0c0b7e|Zone5|32|0.00|0.00
